,time,token,market_caps,prices,total_volumes
238,9/28/2018,aidcoin,2409096.963,0.057427927,13417.81433
239,9/29/2018,aidcoin,2391941.349,0.057003105,3862.008239
240,9/30/2018,aidcoin,2390946.164,0.056994267,6663.924617
241,10/1/2018,aidcoin,2397018.176,0.057139492,25131.74869
242,10/2/2018,aidcoin,2541075.596,0.060566761,70685.87193
243,10/3/2018,aidcoin,2393827.972,0.05706236,87579.53221
244,10/4/2018,aidcoin,2302821.584,0.0548775,31022.2668
245,10/5/2018,aidcoin,2336554.77,0.055697122,4222.727086
246,10/6/2018,aidcoin,2354577.837,0.056129425,11443.0732
247,10/7/2018,aidcoin,2335034.292,0.05566538,22765.00503
248,10/8/2018,aidcoin,2340120.908,0.055780059,3750.113686
249,10/9/2018,aidcoin,2477839.542,0.059064968,468440.9791
250,10/10/2018,aidcoin,2395344.173,0.057100626,67344.66251
251,10/11/2018,aidcoin,2308729.241,0.055032213,42142.54766
252,10/12/2018,aidcoin,2109176.653,0.050277045,35357.65649
253,10/13/2018,aidcoin,2058963.699,0.049080105,9842.020634
254,10/14/2018,aidcoin,2188802.843,0.052175118,18404.6318
255,10/15/2018,aidcoin,2162183.998,0.051583108,38126.43118
256,10/16/2018,aidcoin,2184248.473,0.052066548,30842.66017
257,10/17/2018,aidcoin,2204565.464,0.051224761,16262.55267
258,10/18/2018,aidcoin,2226068.799,0.051694772,27821.18314
259,10/19/2018,aidcoin,2183594.593,0.050703007,6948.774275
260,10/20/2018,aidcoin,2174151.599,0.050481453,47163.03569
261,10/21/2018,aidcoin,2155751.019,0.050062328,7951.748623
262,10/22/2018,aidcoin,2198762.044,0.051052319,21121.8323
263,10/23/2018,aidcoin,2162134.278,0.050204699,21603.74902
264,10/24/2018,aidcoin,2238425.381,0.051976142,25158.88707
265,10/25/2018,aidcoin,2394068.169,0.055590197,150009.8082
266,10/26/2018,aidcoin,2562778.129,0.059499195,130060.9873
267,10/27/2018,aidcoin,2713935.776,0.063017645,603201.8425
268,10/28/2018,aidcoin,3783159.934,0.072810185,1327983.007
269,10/29/2018,aidcoin,3499088.307,0.066977724,244062.9037
270,10/30/2018,aidcoin,3154338.584,0.060366569,116518.4294
271,10/31/2018,aidcoin,3260081.938,0.062378349,56009.19629
272,11/1/2018,aidcoin,3162008.603,0.0605139,21376.99905
273,11/2/2018,aidcoin,3145630.162,0.060180468,44456.82536
274,11/3/2018,aidcoin,3298866.355,0.06313035,60687.05618
275,11/4/2018,aidcoin,3227161.716,0.061763388,19641.06523
276,11/5/2018,aidcoin,3121998.477,0.059750138,33203.46096
277,11/6/2018,aidcoin,2995683.766,0.05732835,32751.22602
278,11/7/2018,aidcoin,3162486.436,0.060544632,43927.29302
279,11/8/2018,aidcoin,3132283.412,0.059848911,62375.03092
280,11/9/2018,aidcoin,3164325.686,0.060363307,80244.5053
281,11/10/2018,aidcoin,3068314.198,0.058498432,35935.71694
282,11/11/2018,aidcoin,3015300.659,0.057499437,6815.644599
283,11/12/2018,aidcoin,3046669.103,0.05804148,14619.55445
284,11/13/2018,aidcoin,2950612.716,0.056304622,53642.53938
285,11/14/2018,aidcoin,3076253.81,0.05866182,63123.08411
286,11/15/2018,aidcoin,2538178.43,0.04854243,31174.15703
287,11/16/2018,aidcoin,2412488.661,0.046004282,12059.13097
288,11/17/2018,aidcoin,2415068.917,0.046121547,2832.503583
289,11/18/2018,aidcoin,2360599.519,0.045018137,3853.398729
290,11/19/2018,aidcoin,2128788.871,0.040573285,6468.255412
291,11/20/2018,aidcoin,1834601.791,0.034898217,21129.54804
292,11/21/2018,aidcoin,1336947.246,0.026371295,35983.06622
293,11/22/2018,aidcoin,1541884.988,0.029342672,17517.79102
294,11/23/2018,aidcoin,1373292.261,0.025998304,18335.4346
295,11/24/2018,aidcoin,1396386.09,0.026602632,3612.978138
296,11/25/2018,aidcoin,1213355.678,0.023115709,4961.560805
297,11/26/2018,aidcoin,1244783.224,0.023714437,25102.43796
298,11/27/2018,aidcoin,1115213.155,0.021192907,8632.82907
299,11/28/2018,aidcoin,991811.0093,0.018868297,7726.651942
300,11/29/2018,aidcoin,1249002.128,0.0238071,29077.65135
301,11/30/2018,aidcoin,1211974.238,0.023102185,10321.66024
302,12/1/2018,aidcoin,1085217.926,0.020679595,18705.90496
303,12/2/2018,aidcoin,1212851.889,0.023102013,26710.53233
304,12/3/2018,aidcoin,1280476.589,0.024398029,173380.548
305,12/4/2018,aidcoin,1155505.683,0.022079873,26157.05023
306,12/5/2018,aidcoin,1202973.492,0.022922771,28747.78593
307,12/6/2018,aidcoin,1171887.936,0.022274246,8256.167195
308,12/7/2018,aidcoin,2014924.293,0.037958382,2339101.731
309,12/8/2018,aidcoin,1348985.015,0.025574534,496924.2795
310,12/9/2018,aidcoin,1292361.111,0.024599689,218246.7843
311,12/10/2018,aidcoin,1256484.949,0.023927792,40071.97165
312,12/11/2018,aidcoin,1176794.997,0.022417268,52867.26993
313,12/12/2018,aidcoin,1092143.968,0.02079868,53812.9347
314,12/13/2018,aidcoin,1209063.558,0.022810905,213190.2484
315,12/14/2018,aidcoin,1156103.371,0.021806899,44075.62058
316,12/15/2018,aidcoin,1142154.426,0.021520378,21007.98706
317,12/16/2018,aidcoin,1212857.106,0.022700294,23674.49188
318,12/17/2018,aidcoin,1178983.534,0.022260942,18248.78099
319,12/18/2018,aidcoin,1305892.007,0.024614912,67645.68076
320,12/19/2018,aidcoin,1304433.272,0.024583684,22753.65836
321,12/20/2018,aidcoin,1231298.952,0.023188401,62507.54536
322,12/21/2018,aidcoin,1197151.068,0.022035817,59118.08808
323,12/22/2018,aidcoin,1154843.62,0.021760176,65004.11788
324,12/23/2018,aidcoin,1156500.377,0.021822586,46044.68879
325,12/24/2018,aidcoin,1100896.585,0.02074252,34022.00594
326,12/25/2018,aidcoin,1295713.887,0.02440362,629521.933
327,12/26/2018,aidcoin,1202273.932,0.022780105,163871.1229
328,12/27/2018,aidcoin,1165739.081,0.021961899,96390.05762
329,12/28/2018,aidcoin,1055075.963,0.019817086,133163.3604
330,12/29/2018,aidcoin,1150370.35,0.021680175,76963.24369
331,12/30/2018,aidcoin,1109931.226,0.020659886,27661.65817
332,12/31/2018,aidcoin,1079383.955,0.020351732,36378.39479
333,1/1/2019,aidcoin,1110038.955,0.020923923,34539.5447
334,1/2/2019,aidcoin,1096518.037,0.020669992,32894.44461
335,1/3/2019,aidcoin,1135879.777,0.021407082,23739.30421
336,1/4/2019,aidcoin,1104373.484,0.020810661,35774.81137
337,1/5/2019,aidcoin,1107561.885,0.020857083,28713.13628
338,1/6/2019,aidcoin,1150258.583,0.021490191,308867.948
339,1/7/2019,aidcoin,1252845.692,0.02347938,328986.9616
340,1/8/2019,aidcoin,1179341.522,0.022222544,100090.7359
341,1/9/2019,aidcoin,1230433.428,0.023188321,65038.79839
342,1/10/2019,aidcoin,1188510.837,0.022396844,26076.04191
343,1/11/2019,aidcoin,1076985.961,0.01994979,32282.41174
344,1/12/2019,aidcoin,1102672.027,0.020361432,20709.15209
345,1/13/2019,aidcoin,1146434.894,0.021168955,266507.5846
346,1/14/2019,aidcoin,1088697.805,0.020103391,76204.45399
347,1/15/2019,aidcoin,1132661.51,0.020905097,34813.72055
348,1/16/2019,aidcoin,1120879.566,0.020700688,45040.22218
349,1/17/2019,aidcoin,1203651.353,0.022222462,72894.17224
350,1/18/2019,aidcoin,1333986.827,0.024529688,191461.2488
351,1/19/2019,aidcoin,1578127.883,0.029310572,281436.6682
352,1/20/2019,aidcoin,1387688.567,0.025857145,125941.047
353,1/21/2019,aidcoin,1302612.623,0.024049367,58441.85645
354,1/22/2019,aidcoin,1531320.897,0.02827238,245112.8249
355,1/23/2019,aidcoin,1665228.964,0.030749349,240509.7232
356,1/24/2019,aidcoin,2018374.41,0.03713267,88305.36375
357,1/25/2019,aidcoin,1774626.202,0.032769428,238054.2869
358,1/26/2019,aidcoin,1670566.383,0.030890584,144649.2278
359,1/27/2019,aidcoin,1745120.35,0.032061567,112402.672
360,1/28/2019,aidcoin,700409.1921,0.012863362,29100.19039
361,1/29/2019,aidcoin,1586475.888,0.029146931,60027.89534
362,1/30/2019,aidcoin,1603130.861,0.029455428,36493.98063
363,1/31/2019,aidcoin,1691685.984,0.031079864,42190.86827
364,2/1/2019,aidcoin,1838347.158,0.033774341,86255.20129
365,2/2/2019,aidcoin,1320776.718,0.024265473,39200.92906
366,2/3/2019,aidcoin,1244828.818,0.022870149,89715.2523
367,2/4/2019,aidcoin,1190323.477,0.022725312,112403.8031
368,2/5/2019,aidcoin,1088005.351,0.019988969,85110.06033
369,2/6/2019,aidcoin,1184017.935,0.022106623,114252.0789
370,2/7/2019,aidcoin,1128934.499,0.020740924,124600.7214
371,2/8/2019,aidcoin,1086291.174,0.019957476,114695.2116
372,2/9/2019,aidcoin,1203524.675,0.022111304,126073.3783
373,2/10/2019,aidcoin,1212427.554,0.021437669,147535.4344
374,2/11/2019,aidcoin,1152330.138,0.021170752,115136.4575
375,2/12/2019,aidcoin,1140497.531,0.020953361,103940.5073
376,2/13/2019,aidcoin,1988431.412,0.036518703,1919.560468
377,2/14/2019,aidcoin,1968070.454,0.036157633,39847.94276
378,2/15/2019,aidcoin,1951058.073,0.035835595,5142.026373
379,2/16/2019,aidcoin,1959293.096,0.03599051,613.3704177
380,2/17/2019,aidcoin,2003855.661,0.036815084,3410.437856
381,2/18/2019,aidcoin,2025035.667,0.037194668,5459.750205
382,2/19/2019,aidcoin,2169041.114,0.039849891,242911.239
383,2/20/2019,aidcoin,2199515.531,0.040343875,36375.25438
384,2/21/2019,aidcoin,2254714.941,0.041450224,12558.39093
385,2/22/2019,aidcoin,2339264.999,0.042977265,43760.06288
386,2/23/2019,aidcoin,2340201.173,0.043003902,240654.777
387,2/24/2019,aidcoin,2433436.225,0.044707391,48321.61044
388,2/25/2019,aidcoin,2044836.425,0.037501923,41538.09548
389,2/26/2019,aidcoin,2190337.362,0.040241148,581231.8556
390,2/27/2019,aidcoin,2076406.63,0.038147999,182268.896
391,2/28/2019,aidcoin,2101892.477,0.039115571,67229.02067
392,3/1/2019,aidcoin,2115952.988,0.0389013,14763.18982
393,3/2/2019,aidcoin,2223747.872,0.040891593,23607.02256
394,3/3/2019,aidcoin,2203824.502,0.040488936,23838.46616
395,3/4/2019,aidcoin,2163421.828,0.039751249,9869.044911
396,3/5/2019,aidcoin,2131911.437,0.03916774,48572.07071
397,3/6/2019,aidcoin,2232432.498,0.04099086,69183.65607
398,3/7/2019,aidcoin,2421935.761,0.044481423,113205.5561
399,3/8/2019,aidcoin,2334358.253,0.042912395,23934.26697
400,3/9/2019,aidcoin,2316435.06,0.04256338,49216.6233
401,3/10/2019,aidcoin,2455147.437,0.045106272,15701.64177
402,3/11/2019,aidcoin,2416996.931,0.044402995,8113.451125
403,3/12/2019,aidcoin,2332337.929,0.042876851,16447.93903
404,3/13/2019,aidcoin,2391383.937,0.043746918,7493.037643
405,3/14/2019,aidcoin,2557568.874,0.046729333,32679.47768
406,3/15/2019,aidcoin,2565762.598,0.04693304,9478.678776
407,3/16/2019,aidcoin,2606229.42,0.047638164,18278.16331
408,3/17/2019,aidcoin,2703977.441,0.049424858,37666.76398
409,3/18/2019,aidcoin,2719002.953,0.049699503,9379.385709
410,3/19/2019,aidcoin,2667126.863,0.048638187,275412.567
411,3/20/2019,aidcoin,2714973.835,0.049510733,29588.04343
412,3/21/2019,aidcoin,2889992.802,0.052713616,8015.983114
413,3/22/2019,aidcoin,2664833.733,0.048596369,29501.51949
414,3/23/2019,aidcoin,2824753.786,0.051505191,49733.46558
415,3/24/2019,aidcoin,2945605.632,0.053911287,590108.2385
416,3/25/2019,aidcoin,2953267.444,0.053856296,558170.343
417,3/26/2019,aidcoin,2718662.308,0.049577996,96963.03102
418,3/27/2019,aidcoin,3094763.834,0.057091049,1102618.123
419,3/28/2019,aidcoin,3001691.031,0.054724197,395131.747
420,3/29/2019,aidcoin,2996985.843,0.054653553,252634.1876
421,3/30/2019,aidcoin,3082195.235,0.056172278,114283.4903
422,3/31/2019,aidcoin,3048890.322,0.055640415,32395.08231
423,4/1/2019,aidcoin,3042222.681,0.055478499,12806.97992
424,4/2/2019,aidcoin,3055499.843,0.055720624,32710.14405
